# UV coordinates (u, v)
1533: (1.25, 39.792107392211605)
1534: (1.5, 19.877602880843284)
1535: (1.25, 19.877602880843284)
1536: (1.5, 39.792107392211605)
1537: (1.75, 39.792107392211605)
1538: (1.75, 19.877602880843284)
1539: (1.5, 39.792107392211605)
1540: (1.75, 19.877602880843284)
1541: (1.5, 19.877602880843284)
1542: (1.75, 39.792107392211605)
1543: (2.0, 39.792107392211605)
1544: (2.0, 19.877602880843284)
1545: (1.75, 39.792107392211605)
1546: (2.0, 19.877602880843284)
1547: (1.75, 19.877602880843284)
1548: (0.0, 39.792107392211605)
1549: (0.25, 39.792107392211605)
1550: (0.25, 19.877602880843284)
1551: (0.0, 39.792107392211605)
1552: (0.25, 19.877602880843284)
1553: (0.0, 19.877602880843284)
1554: (0.25, 79.63968698188033)
1555: (0.5, 79.63968698188033)
1556: (0.5, 39.792107392211605)
1557: (0.25, 79.63968698188033)
1558: (0.5, 39.792107392211605)
1559: (0.25, 39.792107392211605)
1560: (0.5, 79.63968698188033)
1561: (0.75, 79.63968698188033)
1562: (0.75, 39.792107392211605)
1563: (0.5, 79.63968698188033)
1564: (0.75, 39.792107392211605)
1565: (0.5, 39.792107392211605)
1566: (0.75, 79.63968698188033)
1567: (1.0, 79.63968698188033)
1568: (1.0, 39.792107392211605)
1569: (0.75, 79.63968698188033)
1570: (1.0, 39.792107392211605)
1571: (0.75, 39.792107392211605)
1572: (1.0, 79.63968698188033)
1573: (1.25, 79.63968698188033)
1574: (1.25, 39.792107392211605)
1575: (1.0, 79.63968698188033)
1576: (1.25, 39.792107392211605)
1577: (1.0, 39.792107392211605)
1578: (1.25, 79.63968698188033)
1579: (1.5, 79.63968698188033)
1580: (1.5, 39.792107392211605)
1581: (1.25, 79.63968698188033)
1582: (1.5, 39.792107392211605)
1583: (1.25, 39.792107392211605)
1584: (1.5, 79.63968698188033)
1585: (1.75, 79.63968698188033)
1586: (1.75, 39.792107392211605)
1587: (1.5, 79.63968698188033)
1588: (1.75, 39.792107392211605)
1589: (1.5, 39.792107392211605)
1590: (1.75, 79.63968698188033)
1591: (2.0, 79.63968698188033)
1592: (2.0, 39.792107392211605)
1593: (1.75, 79.63968698188033)
1594: (2.0, 39.792107392211605)
1595: (1.75, 39.792107392211605)
1596: (0.0, 79.63968698188033)
1597: (0.25, 79.63968698188033)
1598: (0.25, 39.792107392211605)
1599: (0.0, 79.63968698188033)
1600: (0.25, 39.792107392211605)
1601: (0.0, 39.792107392211605)
1602: (0.25, 119.48726657154907)
1603: (0.5, 119.48726657154907)
1604: (0.5, 79.63968698188033)
1605: (0.25, 119.48726657154907)
1606: (0.5, 79.63968698188033)
1607: (0.25, 79.63968698188033)
1608: (0.5, 119.48726657154907)
1609: (0.75, 119.48726657154907)
1610: (0.75, 79.63968698188033)
1611: (0.5, 119.48726657154907)
1612: (0.75, 79.63968698188033)
1613: (0.5, 79.63968698188033)
1614: (0.75, 119.48726657154907)
1615: (1.0, 119.48726657154907)
1616: (1.0, 79.63968698188033)
1617: (0.75, 119.48726657154907)
1618: (1.0, 79.63968698188033)
1619: (0.75, 79.63968698188033)
1620: (1.0, 119.48726657154907)
1621: (1.25, 119.48726657154907)
1622: (1.25, 79.63968698188033)
1623: (1.0, 119.48726657154907)
1624: (1.25, 79.63968698188033)
1625: (1.0, 79.63968698188033)
1626: (1.25, 119.48726657154907)
1627: (1.5, 119.48726657154907)
1628: (1.5, 79.63968698188033)
1629: (1.25, 119.48726657154907)
1630: (1.5, 79.63968698188033)
1631: (1.25, 79.63968698188033)
1632: (1.5, 119.48726657154907)
1633: (1.75, 119.48726657154907)
1634: (1.75, 79.63968698188033)
1635: (1.5, 119.48726657154907)
1636: (1.75, 79.63968698188033)
1637: (1.5, 79.63968698188033)
1638: (1.75, 119.48726657154907)
1639: (2.0, 119.48726657154907)
1640: (2.0, 79.63968698188033)
1641: (1.75, 119.48726657154907)
1642: (2.0, 79.63968698188033)
1643: (1.75, 79.63968698188033)
1644: (0.0, 119.48726657154907)
1645: (0.25, 119.48726657154907)
1646: (0.25, 79.63968698188033)
1647: (0.0, 119.48726657154907)
1648: (0.25, 79.63968698188033)
1649: (0.0, 79.63968698188033)
1650: (0.5, 1.5)
1651: (1.0, 1.5)
1652: (0.8535533905932737, 2.560660171779821)
1653: (0.5, 1.5)
1654: (0.8535533905932737, 2.560660171779821)
1655: (0.5, 3.0)
1656: (0.5, 1.5)
1657: (0.5, 3.0)
1658: (0.14644660940672627, 2.560660171779821)
1659: (0.5, 1.5)
1660: (0.14644660940672627, 2.560660171779821)
1661: (0.0, 1.5000000000000004)
1662: (0.5, 1.5)
1663: (0.0, 1.5000000000000004)
1664: (0.14644660940672616, 0.4393398282201788)
1665: (0.5, 1.5)
1666: (0.14644660940672616, 0.4393398282201788)
1667: (0.4999999999999999, 0.0)
1668: (0.5, 1.5)
1669: (0.4999999999999999, 0.0)
1670: (0.8535533905932737, 0.4393398282201785)
1671: (0.5, 1.5)
1672: (0.8535533905932737, 0.4393398282201785)
1673: (1.0, 1.5)
1674: (0.5, 1.5)
1675: (0.5, 1.5)
1676: (0.5, 1.5)
1677: (0.5, 1.5)
1678: (0.5, 1.5)
1679: (0.5, 1.5)
1680: (0.5, 1.5)
1681: (0.5, 1.5)
1682: (0.5, 1.5)
1683: (0.25, 10.062892957484104)
1684: (0.5, 10.062892957484104)
1685: (0.5, 0.0)
1686: (0.25, 10.062892957484104)
1687: (0.5, 0.0)
1688: (0.25, 0.0)
1689: (0.5, 10.062892957484104)
1690: (0.75, 10.062892957484104)
1691: (0.75, 0.0)
1692: (0.5, 10.062892957484104)
1693: (0.75, 0.0)
1694: (0.5, 0.0)
1695: (0.75, 10.062892957484104)
1696: (1.0, 10.062892957484104)
1697: (1.0, 0.0)
1698: (0.75, 10.062892957484104)
1699: (1.0, 0.0)
1700: (0.75, 0.0)
1701: (1.0, 10.062892957484104)
1702: (1.25, 10.062892957484104)
1703: (1.25, 0.0)
1704: (1.0, 10.062892957484104)
1705: (1.25, 0.0)
1706: (1.0, 0.0)
1707: (1.25, 10.062892957484104)
1708: (1.5, 10.062892957484104)
1709: (1.5, 0.0)
1710: (1.25, 10.062892957484104)
1711: (1.5, 0.0)
1712: (1.25, 0.0)
1713: (1.5, 10.062892957484104)
1714: (1.75, 10.062892957484104)
1715: (1.75, 0.0)
1716: (1.5, 10.062892957484104)
1717: (1.75, 0.0)
1718: (1.5, 0.0)
1719: (1.75, 10.062892957484104)
1720: (2.0, 10.062892957484104)
1721: (2.0, 0.0)
1722: (1.75, 10.062892957484104)
1723: (2.0, 0.0)
1724: (1.75, 0.0)
1725: (0.0, 10.062892957484104)
1726: (0.25, 10.062892957484104)
1727: (0.25, 0.0)
1728: (0.0, 10.062892957484104)
1729: (0.25, 0.0)
1730: (0.0, 0.0)
1731: (0.25, 20.694363384899255)
1732: (0.5, 20.694363384899255)
1733: (0.5, 10.062892957484104)
1734: (0.25, 20.694363384899255)
1735: (0.5, 10.062892957484104)
1736: (0.25, 10.062892957484104)
1737: (0.5, 20.694363384899255)
1738: (0.75, 20.694363384899255)
1739: (0.75, 10.062892957484104)
1740: (0.5, 20.694363384899255)
1741: (0.75, 10.062892957484104)
1742: (0.5, 10.062892957484104)
1743: (0.75, 20.694363384899255)
1744: (1.0, 20.694363384899255)
1745: (1.0, 10.062892957484104)
1746: (0.75, 20.694363384899255)
1747: (1.0, 10.062892957484104)
1748: (0.75, 10.062892957484104)
1749: (1.0, 20.694363384899255)
1750: (1.25, 20.694363384899255)
1751: (1.25, 10.062892957484104)
1752: (1.0, 20.694363384899255)
1753: (1.25, 10.062892957484104)
1754: (1.0, 10.062892957484104)
1755: (1.25, 20.694363384899255)
1756: (1.5, 20.694363384899255)
1757: (1.5, 10.062892957484104)
1758: (1.25, 20.694363384899255)
1759: (1.5, 10.062892957484104)
1760: (1.25, 10.062892957484104)
1761: (1.5, 20.694363384899255)
1762: (1.75, 20.694363384899255)
1763: (1.75, 10.062892957484104)
1764: (1.5, 20.694363384899255)
1765: (1.75, 10.062892957484104)
1766: (1.5, 10.062892957484104)
1767: (1.75, 20.694363384899255)
1768: (2.0, 20.694363384899255)
1769: (2.0, 10.062892957484104)
1770: (1.75, 20.694363384899255)
1771: (2.0, 10.062892957484104)
1772: (1.75, 10.062892957484104)
1773: (0.0, 20.694363384899255)
1774: (0.25, 20.694363384899255)
1775: (0.25, 10.062892957484104)
1776: (0.0, 20.694363384899255)
1777: (0.25, 10.062892957484104)
1778: (0.0, 10.062892957484104)
1779: (0.25, 40.57244568615354)
1780: (0.5, 40.57244568615354)
1781: (0.5, 20.694363384899255)
1782: (0.25, 40.57244568615354)
1783: (0.5, 20.694363384899255)
1784: (0.25, 20.694363384899255)
1785: (0.5, 40.57244568615354)
1786: (0.75, 40.57244568615354)
1787: (0.75, 20.694363384899255)
1788: (0.5, 40.57244568615354)
1789: (0.75, 20.694363384899255)
1790: (0.5, 20.694363384899255)
1791: (0.75, 40.57244568615354)
1792: (1.0, 40.57244568615354)
1793: (1.0, 20.694363384899255)
1794: (0.75, 40.57244568615354)
1795: (1.0, 20.694363384899255)
1796: (0.75, 20.694363384899255)
1797: (1.0, 40.57244568615354)
1798: (1.25, 40.57244568615354)
1799: (1.25, 20.694363384899255)
1800: (1.0, 40.57244568615354)
1801: (1.25, 20.694363384899255)
1802: (1.0, 20.694363384899255)
1803: (1.25, 40.57244568615354)
1804: (1.5, 40.57244568615354)
1805: (1.5, 20.694363384899255)
1806: (1.25, 40.57244568615354)
1807: (1.5, 20.694363384899255)
1808: (1.25, 20.694363384899255)
1809: (1.5, 40.57244568615354)
1810: (1.75, 40.57244568615354)
1811: (1.75, 20.694363384899255)
1812: (1.5, 40.57244568615354)
1813: (1.75, 20.694363384899255)
1814: (1.5, 20.694363384899255)
1815: (1.75, 40.57244568615354)
1816: (2.0, 40.57244568615354)
1817: (2.0, 20.694363384899255)
1818: (1.75, 40.57244568615354)
1819: (2.0, 20.694363384899255)
1820: (1.75, 20.694363384899255)
1821: (0.0, 40.57244568615354)
1822: (0.25, 40.57244568615354)
1823: (0.25, 20.694363384899255)
1824: (0.0, 40.57244568615354)
1825: (0.25, 20.694363384899255)
1826: (0.0, 20.694363384899255)
1827: (0.25, 80.42002527582224)
1828: (0.5, 80.42002527582224)
1829: (0.5, 40.57244568615354)
1830: (0.25, 80.42002527582224)
1831: (0.5, 40.57244568615354)
1832: (0.25, 40.57244568615354)
1833: (0.5, 80.42002527582224)
1834: (0.75, 80.42002527582224)
1835: (0.75, 40.57244568615354)
1836: (0.5, 80.42002527582224)
1837: (0.75, 40.57244568615354)
1838: (0.5, 40.57244568615354)
1839: (0.75, 80.42002527582224)
1840: (1.0, 80.42002527582224)
1841: (1.0, 40.57244568615354)
1842: (0.75, 80.42002527582224)
1843: (1.0, 40.57244568615354)
1844: (0.75, 40.57244568615354)
1845: (1.0, 80.42002527582224)
1846: (1.25, 80.42002527582224)
1847: (1.25, 40.57244568615354)
1848: (1.0, 80.42002527582224)
1849: (1.25, 40.57244568615354)
1850: (1.0, 40.57244568615354)
1851: (1.25, 80.42002527582224)
1852: (1.5, 80.42002527582224)
1853: (1.5, 40.57244568615354)
1854: (1.25, 80.42002527582224)
1855: (1.5, 40.57244568615354)
1856: (1.25, 40.57244568615354)
1857: (1.5, 80.42002527582224)
1858: (1.75, 80.42002527582224)
1859: (1.75, 40.57244568615354)
1860: (1.5, 80.42002527582224)
1861: (1.75, 40.57244568615354)
1862: (1.5, 40.57244568615354)
1863: (1.75, 80.42002527582224)
1864: (2.0, 80.42002527582224)
1865: (2.0, 40.57244568615354)
1866: (1.75, 80.42002527582224)
1867: (2.0, 40.57244568615354)
1868: (1.75, 40.57244568615354)
1869: (0.0, 80.42002527582224)
1870: (0.25, 80.42002527582224)
1871: (0.25, 40.57244568615354)
1872: (0.0, 80.42002527582224)
1873: (0.25, 40.57244568615354)
1874: (0.0, 40.57244568615354)
1875: (0.25, 120.26760486549102)
1876: (0.5, 120.26760486549102)
1877: (0.5, 80.42002527582224)
1878: (0.25, 120.26760486549102)
1879: (0.5, 80.42002527582224)
1880: (0.25, 80.42002527582224)
1881: (0.5, 120.26760486549102)
1882: (0.75, 120.26760486549102)
1883: (0.75, 80.42002527582224)
1884: (0.5, 120.26760486549102)
1885: (0.75, 80.42002527582224)
1886: (0.5, 80.42002527582224)
1887: (0.75, 120.26760486549102)
1888: (1.0, 120.26760486549102)
1889: (1.0, 80.42002527582224)
1890: (0.75, 120.26760486549102)
1891: (1.0, 80.42002527582224)
1892: (0.75, 80.42002527582224)
1893: (1.0, 120.26760486549102)
1894: (1.25, 120.26760486549102)
1895: (1.25, 80.42002527582224)
1896: (1.0, 120.26760486549102)
1897: (1.25, 80.42002527582224)
1898: (1.0, 80.42002527582224)
1899: (1.25, 120.26760486549102)
1900: (1.5, 120.26760486549102)
1901: (1.5, 80.42002527582224)
1902: (1.25, 120.26760486549102)
1903: (1.5, 80.42002527582224)
1904: (1.25, 80.42002527582224)
1905: (1.5, 120.26760486549102)
1906: (1.75, 120.26760486549102)
1907: (1.75, 80.42002527582224)
1908: (1.5, 120.26760486549102)
1909: (1.75, 80.42002527582224)
1910: (1.5, 80.42002527582224)
1911: (1.75, 120.26760486549102)
1912: (2.0, 120.26760486549102)
1913: (2.0, 80.42002527582224)
1914: (1.75, 120.26760486549102)
1915: (2.0, 80.42002527582224)
1916: (1.75, 80.42002527582224)
1917: (0.0, 120.26760486549102)
1918: (0.25, 120.26760486549102)
1919: (0.25, 80.42002527582224)
1920: (0.0, 120.26760486549102)
1921: (0.25, 80.42002527582224)
1922: (0.0, 80.42002527582224)
1923: (0.5, 1.5)
1924: (1.0, 1.5)
1925: (0.8535533905932737, 2.560660171779821)
1926: (0.5, 1.5)
1927: (0.8535533905932737, 2.560660171779821)
1928: (0.5, 3.0)
1929: (0.5, 1.5)
1930: (0.5, 3.0)
1931: (0.14644660940672627, 2.560660171779821)
1932: (0.5, 1.5)
1933: (0.14644660940672627, 2.560660171779821)
1934: (0.0, 1.5000000000000004)
1935: (0.5, 1.5)
1936: (0.0, 1.5000000000000004)
1937: (0.14644660940672616, 0.4393398282201788)
1938: (0.5, 1.5)
1939: (0.14644660940672616, 0.4393398282201788)
1940: (0.4999999999999999, 0.0)
1941: (0.5, 1.5)
1942: (0.4999999999999999, 0.0)
1943: (0.8535533905932737, 0.4393398282201785)
1944: (0.5, 1.5)
1945: (0.8535533905932737, 0.4393398282201785)
1946: (1.0, 1.5)
1947: (0.5, 1.5)
1948: (0.5, 1.5)
1949: (0.5, 1.5)
1950: (0.5, 1.5)
1951: (0.5, 1.5)
1952: (0.5, 1.5)
1953: (0.5, 1.5)
1954: (0.5, 1.5)
1955: (0.5, 1.5)
1956: (0.25, 10.703413463760358)
1957: (0.5, 10.703413463760358)
1958: (0.5, 0.0)
1959: (0.25, 10.703413463760358)
1960: (0.5, 0.0)
1961: (0.25, 0.0)
1962: (0.5, 10.703413463760358)
1963: (0.75, 10.703413463760358)
1964: (0.75, 0.0)
1965: (0.5, 10.703413463760358)
1966: (0.75, 0.0)
1967: (0.5, 0.0)
1968: (0.75, 10.703413463760358)
1969: (1.0, 10.703413463760358)
1970: (1.0, 0.0)
1971: (0.75, 10.703413463760358)
1972: (1.0, 0.0)
1973: (0.75, 0.0)
1974: (1.0, 10.703413463760358)
1975: (1.25, 10.703413463760358)
1976: (1.25, 0.0)
1977: (1.0, 10.703413463760358)
1978: (1.25, 0.0)
1979: (1.0, 0.0)
1980: (1.25, 10.703413463760358)
1981: (1.5, 10.703413463760358)
1982: (1.5, 0.0)
1983: (1.25, 10.703413463760358)
1984: (1.5, 0.0)
1985: (1.25, 0.0)
1986: (1.5, 10.703413463760358)
1987: (1.75, 10.703413463760358)
1988: (1.75, 0.0)
1989: (1.5, 10.703413463760358)
1990: (1.75, 0.0)
1991: (1.5, 0.0)
1992: (1.75, 10.703413463760358)
1993: (2.0, 10.703413463760358)
1994: (2.0, 0.0)
1995: (1.75, 10.703413463760358)
1996: (2.0, 0.0)
1997: (1.75, 0.0)
1998: (0.0, 10.703413463760358)
1999: (0.25, 10.703413463760358)
2000: (0.25, 0.0)
2001: (0.0, 10.703413463760358)
2002: (0.25, 0.0)
2003: (0.0, 0.0)
2004: (0.25, 21.20572002598167)
2005: (0.5, 21.20572002598167)
2006: (0.5, 10.703413463760358)
2007: (0.25, 21.20572002598167)
2008: (0.5, 10.703413463760358)
2009: (0.25, 10.703413463760358)
2010: (0.5, 21.20572002598167)
2011: (0.75, 21.20572002598167)
2012: (0.75, 10.703413463760358)
2013: (0.5, 21.20572002598167)
2014: (0.75, 10.703413463760358)
2015: (0.5, 10.703413463760358)
2016: (0.75, 21.20572002598167)
2017: (1.0, 21.20572002598167)
2018: (1.0, 10.703413463760358)
2019: (0.75, 21.20572002598167)
2020: (1.0, 10.703413463760358)
2021: (0.75, 10.703413463760358)
2022: (1.0, 21.20572002598167)
2023: (1.25, 21.20572002598167)
2024: (1.25, 10.703413463760358)
2025: (1.0, 21.20572002598167)
2026: (1.25, 10.703413463760358)
2027: (1.0, 10.703413463760358)
2028: (1.25, 21.20572002598167)
2029: (1.5, 21.20572002598167)
2030: (1.5, 10.703413463760358)
2031: (1.25, 21.20572002598167)
2032: (1.5, 10.703413463760358)
2033: (1.25, 10.703413463760358)
2034: (1.5, 21.20572002598167)
2035: (1.75, 21.20572002598167)
2036: (1.75, 10.703413463760358)
2037: (1.5, 21.20572002598167)
2038: (1.75, 10.703413463760358)
2039: (1.5, 10.703413463760358)
2040: (1.75, 21.20572002598167)
2041: (2.0, 21.20572002598167)
2042: (2.0, 10.703413463760358)
2043: (1.75, 21.20572002598167)
2044: (2.0, 10.703413463760358)
2045: (1.75, 10.703413463760358)
2046: (0.0, 21.20572002598167)
2047: (0.25, 21.20572002598167)
2048: (0.25, 10.703413463760358)
2049: (0.0, 21.20572002598167)
2050: (0.25, 10.703413463760358)
2051: (0.0, 10.703413463760358)
2052: (0.25, 41.0017221756975)
2053: (0.5, 41.0017221756975)
2054: (0.5, 21.20572002598167)
2055: (0.25, 41.0017221756975)
2056: (0.5, 21.20572002598167)
2057: (0.25, 21.20572002598167)
2058: (0.5, 41.0017221756975)
2059: (0.75, 41.0017221756975)
2060: (0.75, 21.20572002598167)
2061: (0.5, 41.0017221756975)
2062: (0.75, 21.20572002598167)
2063: (0.5, 21.20572002598167)
2064: (0.75, 41.0017221756975)
2065: (1.0, 41.0017221756975)
2066: (1.0, 21.20572002598167)
2067: (0.75, 41.0017221756975)
2068: (1.0, 21.20572002598167)
2069: (0.75, 21.20572002598167)
2070: (1.0, 41.0017221756975)
2071: (1.25, 41.0017221756975)
2072: (1.25, 21.20572002598167)
2073: (1.0, 41.0017221756975)
2074: (1.25, 21.20572002598167)
2075: (1.0, 21.20572002598167)
2076: (1.25, 41.0017221756975)
2077: (1.5, 41.0017221756975)
2078: (1.5, 21.20572002598167)
2079: (1.25, 41.0017221756975)
2080: (1.5, 21.20572002598167)
2081: (1.25, 21.20572002598167)
2082: (1.5, 41.0017221756975)
2083: (1.75, 41.0017221756975)
2084: (1.75, 21.20572002598167)
2085: (1.5, 41.0017221756975)
2086: (1.75, 21.20572002598167)
2087: (1.5, 21.20572002598167)
2088: (1.75, 41.0017221756975)
2089: (2.0, 41.0017221756975)
2090: (2.0, 21.20572002598167)
2091: (1.75, 41.0017221756975)
2092: (2.0, 21.20572002598167)
2093: (1.75, 21.20572002598167)
2094: (0.0, 41.0017221756975)
2095: (0.25, 41.0017221756975)
2096: (0.25, 21.20572002598167)
2097: (0.0, 41.0017221756975)
2098: (0.25, 21.20572002598167)
2099: (0.0, 21.20572002598167)
2100: (0.25, 80.64791052317192)
2101: (0.5, 80.64791052317192)
2102: (0.5, 41.0017221756975)
2103: (0.25, 80.64791052317192)
2104: (0.5, 41.0017221756975)
2105: (0.25, 41.0017221756975)
2106: (0.5, 80.64791052317192)
2107: (0.75, 80.64791052317192)
2108: (0.75, 41.0017221756975)
2109: (0.5, 80.64791052317192)
2110: (0.75, 41.0017221756975)
2111: (0.5, 41.0017221756975)
2112: (0.75, 80.64791052317192)
2113: (1.0, 80.64791052317192)
2114: (1.0, 41.0017221756975)
2115: (0.75, 80.64791052317192)
2116: (1.0, 41.0017221756975)
2117: (0.75, 41.0017221756975)
2118: (1.0, 80.64791052317192)
2119: (1.25, 80.64791052317192)
2120: (1.25, 41.0017221756975)
2121: (1.0, 80.64791052317192)
2122: (1.25, 41.0017221756975)
2123: (1.0, 41.0017221756975)
2124: (1.25, 80.64791052317192)
2125: (1.5, 80.64791052317192)
2126: (1.5, 41.0017221756975)
2127: (1.25, 80.64791052317192)
2128: (1.5, 41.0017221756975)
2129: (1.25, 41.0017221756975)
2130: (1.5, 80.64791052317192)
2131: (1.75, 80.64791052317192)
2132: (1.75, 41.0017221756975)
2133: (1.5, 80.64791052317192)
2134: (1.75, 41.0017221756975)
2135: (1.5, 41.0017221756975)
2136: (1.75, 80.64791052317192)
2137: (2.0, 80.64791052317192)
2138: (2.0, 41.0017221756975)
2139: (1.75, 80.64791052317192)
2140: (2.0, 41.0017221756975)
2141: (1.75, 41.0017221756975)
2142: (0.0, 80.64791052317192)
2143: (0.25, 80.64791052317192)
2144: (0.25, 41.0017221756975)
2145: (0.0, 80.64791052317192)
2146: (0.25, 41.0017221756975)
2147: (0.0, 41.0017221756975)
2148: (0.25, 120.49549011284063)
2149: (0.5, 120.49549011284063)
2150: (0.5, 80.64791052317192)
2151: (0.25, 120.49549011284063)
2152: (0.5, 80.64791052317192)
2153: (0.25, 80.64791052317192)
2154: (0.5, 120.49549011284063)
2155: (0.75, 120.49549011284063)
2156: (0.75, 80.64791052317192)
2157: (0.5, 120.49549011284063)
2158: (0.75, 80.64791052317192)
2159: (0.5, 80.64791052317192)
2160: (0.75, 120.49549011284063)
2161: (1.0, 120.49549011284063)
2162: (1.0, 80.64791052317192)
2163: (0.75, 120.49549011284063)
2164: (1.0, 80.64791052317192)
2165: (0.75, 80.64791052317192)
2166: (1.0, 120.49549011284063)
2167: (1.25, 120.49549011284063)
2168: (1.25, 80.64791052317192)
2169: (1.0, 120.49549011284063)
2170: (1.25, 80.64791052317192)
2171: (1.0, 80.64791052317192)
2172: (1.25, 120.49549011284063)
2173: (1.5, 120.49549011284063)
2174: (1.5, 80.64791052317192)
2175: (1.25, 120.49549011284063)
2176: (1.5, 80.64791052317192)
2177: (1.25, 80.64791052317192)
2178: (1.5, 120.49549011284063)
2179: (1.75, 120.49549011284063)
2180: (1.75, 80.64791052317192)
2181: (1.5, 120.49549011284063)
2182: (1.75, 80.64791052317192)
2183: (1.5, 80.64791052317192)
2184: (1.75, 120.49549011284063)
2185: (2.0, 120.49549011284063)
2186: (2.0, 80.64791052317192)
2187: (1.75, 120.49549011284063)
2188: (2.0, 80.64791052317192)
2189: (1.75, 80.64791052317192)
2190: (0.0, 120.49549011284063)
2191: (0.25, 120.49549011284063)
2192: (0.25, 80.64791052317192)
2193: (0.0, 120.49549011284063)
2194: (0.25, 80.64791052317192)
2195: (0.0, 80.64791052317192)
2196: (0.5, 1.5)
2197: (1.0, 1.5)
2198: (0.8535533905932737, 2.560660171779821)
2199: (0.5, 1.5)
2200: (0.8535533905932737, 2.560660171779821)
2201: (0.5, 3.0)
2202: (0.5, 1.5)
2203: (0.5, 3.0)
2204: (0.14644660940672627, 2.560660171779821)
2205: (0.5, 1.5)
2206: (0.14644660940672627, 2.560660171779821)
2207: (0.0, 1.5000000000000004)
2208: (0.5, 1.5)
2209: (0.0, 1.5000000000000004)
2210: (0.14644660940672616, 0.4393398282201788)
2211: (0.5, 1.5)
2212: (0.14644660940672616, 0.4393398282201788)
2213: (0.4999999999999999, 0.0)
2214: (0.5, 1.5)
2215: (0.4999999999999999, 0.0)
2216: (0.8535533905932737, 0.4393398282201785)
2217: (0.5, 1.5)
2218: (0.8535533905932737, 0.4393398282201785)
2219: (1.0, 1.5)
2220: (0.5, 1.5)
2221: (0.5, 1.5)
2222: (0.5, 1.5)
2223: (0.5, 1.5)
2224: (0.5, 1.5)
2225: (0.5, 1.5)
2226: (0.5, 1.5)
2227: (0.5, 1.5)
2228: (0.5, 1.5)
